,o2
0,11.5
1,11.25
2,12.0
3,15.4
4,13.1
5,13.8
6,12.5
7,13.77
8,12.33
9,9.0
10,10.47
11,10.73
12,9.25
13,9.59
14,9.64
15,9.63
16,9.61
17,11.58
18,9.39
19,8.96
20,10.02
21,11.37
22,7.12
23,7.61
24,7.16
25,11.11
26,7.3
27,8.15
28,8.36
29,6.6
30,7.44
31,6.5
32,8.36
33,7.7
34,8.1
35,8.62
36,7.26
37,8.96
38,7.7
39,9.95
40,7.02
41,7.68
42,6.78
43,7.26
44,3.27
45,7.72
46,6.52
47,4.46
48,4.88
49,6.24
50,8.08
51,6.44
52,5.47
53,6.81
54,6.34
55,7.83
56,6.11
57,7.68
58,5.96
59,8.0
60,7.61
61,8.54
62,8.58
63,8.32
64,6.37
65,8.96
66,8.26
67,7.7
68,6.54
69,12.1
70,10.66
71,10.75
72,8.04
73,8.24
74,7.73
75,10.79
76,8.77
77,10.02
78,6.97
79,9.31
80,7.6
81,8.17
82,7.42
83,7.22
84,6.99
85,8.24
86,8.51
87,9.03
88,8.18
89,9.29
90,9.3
91,9.94
92,9.35
93,8.15
94,8.18
95,9.34
96,8.634100997876528
97,10.058808122044148
98,9.65
99,10.72
100,11.28
101,13.13
102,9.5
103,8.96
104,7.64
105,7.21
106,7.18
107,8.54
108,8.46
109,12.0
110,7.07
111,8.47
112,7.1
113,14.05
114,8.0
115,13.44
116,9.3
117,8.7
118,7.34
119,15.67
120,7.0406837045298145
121,12.56
122,6.61
123,8.72
124,5.53
125,9.83
126,4.9
127,8.36
128,5.38
129,7.5
130,8.56
131,8.0
132,5.86
133,14.88
134,5.66
135,8.05
136,5.47
137,8.75
138,5.55
139,9.05
140,6.2
141,9.35
142,6.35
143,8.0
144,5.96
145,10.27
146,7.07
147,7.38
148,6.0
149,7.56
