,o2
0,7.8
1,11.23
2,9.22
3,9.6
4,7.38
5,8.84
6,6.55
7,8.62
8,6.75
9,8.43
10,6.75
11,10.27
12,6.58
13,8.75
14,7.0
15,9.74
16,7.96
17,16.32
18,10.6
19,12.1
20,6.98
21,11.19
22,7.01
23,6.29
24,8.24
25,13.72
26,7.27
27,6.58
28,5.11
29,5.98
30,4.42
31,6.97
32,4.0
33,6.64
34,5.61
35,8.06
36,5.7
37,8.67
38,5.87
39,7.23
40,6.2
41,8.78
42,6.44
43,14.51
44,11.14
45,13.35
46,8.38
47,10.1
48,10.13
49,12.6
50,9.08
51,16.8
52,6.87
53,13.88
54,7.11
55,8.16
56,6.88
57,7.74
58,7.42
59,8.81
60,6.97
61,7.32
62,7.03
63,8.53
64,7.61
65,8.22
66,7.18
67,11.23
68,9.0
69,10.24
70,9.02
71,10.61
72,10.246836901611502
73,12.157232641642471
74,11.33
75,13.14
76,10.86
77,11.21
78,9.22
79,10.18
80,7.31
81,9.82
82,7.81
83,9.62
84,9.5
85,8.83
86,7.24
87,8.15
88,7.86
89,9.75
90,7.33
91,9.95
92,8.0
93,7.26
94,7.33
95,8.7
96,6.359883257088013
97,5.96
98,5.27
99,8.05
100,3.23
101,8.05
102,3.76
103,9.1
104,2.81
105,7.77
106,8.93
107,7.75
108,10.44
109,7.23
110,11.0
111,11.78
112,6.0
113,10.0
114,9.05
115,13.71
116,6.8
117,10.1
118,7.56
119,10.13
120,5.12
121,12.64
122,6.24
123,12.87
124,6.12
125,12.37
